Hashed ID,Conference ID,ID,Title,Published?,Start Date & Time,End Date & Time,Type/Track,Sub-type,Capacity,Description,Speakers,Moderators,Artists,Sponsors,Exhibitors,Volunteers,Room or Building Name,Physical Address,Link To Image File,Custom_1 (e.g. Company List),Custom_1 (e.g. Audience List),Custom_1 (e.g. Subject List),Custom_1 (e.g. Area List),Tags,Host Organization,Link to Registration or RSVP Page
"3299aa303c5e48758fdb1a0ffcd5f23e","penguicon2017","1","The Smithee Awards","N","2017-04-28 09:00","2017-04-28 10:00","Media","","0","A B-Movie awards ceremony in which clips from movies are organized in typical bad movie categories (Worst Science, Stupidest Looking Monster) and the audience votes on which is the worst.","The Smithee Awards","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Music/Film/Spoken Performance","","","","","",""
"b834a6bb2abc22ba1687491c993d6b6d","penguicon2017","10","Ruff Stuff: Pup Play 101","N","2017-04-28 09:00","2017-04-28 10:00","After Dark","","0","This covers the pup lifestyle and what goes into it. Come learn about what it is to be a pup, participate in puppy play, -and answer any questions you may have in regards to the puppy play lifestyle.","Pup Maizey","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Talk/Lecture (Single speaker discussing a topic, possibly taking questions)","","","","","",""
"6a63ac9661d7d4e96ce42189bfeba2fa","penguicon2017","100","Senior Sysadmin Panel: Storage","N","2017-04-28 09:00","2017-04-28 10:00","Tech","","0","The years know things that the days and weeks never know. We've gathered half a dozen people who've been sysadmins for over 20 years to talk about the one of the most dreaded and annoying topics in computing: storage.","Same as Legal Name","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Multiple Speakers ( Multiple Speakers discuss a topic in front of an audience)","","","","","",""
"87fe232e3d8797d1b7e9884f98ba4eb1","penguicon2017","101","Self-Promotion for Creatives","N","2017-04-28 09:00","2017-04-28 10:00","Literature","","0","Independent creators are their own PR departments. We have to not only make all the things, we have to spead the word about all the things. Here we have a bunch of artists and writer types who successfully spread their work across the world. What works? What doesn't? How can you be shamelessly self-promoting without being a jerk? Come find out!","Same as Legal Name","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Multiple Speakers ( Multiple Speakers discuss a topic in front of an audience)","","","","","",""
"166b74c1ebd27fb13e67d3145b41045c","penguicon2017","102","Self-Publishing in 2017","N","2017-04-28 09:00","2017-04-28 10:00","Literature","","0","Self-publishing is an increasingly important channel for authors to reach their readers. It also changes constantly, with new tools and distributors opening daily and existing platforms changing. This panel brings together veteran self-publishers to share their experiences, discuss the changes of the last year, and give new authors an edge in the business.","Same as Legal Name","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Multiple Speakers ( Multiple Speakers discuss a topic in front of an audience)","","","","","",""
"3ccf99c5a98fdc6e8c2be2e0f4105d9f","penguicon2017","103","Writing High-Performance Nonfiction","N","2017-04-28 09:00","2017-04-28 10:00","Literature","","0","Writing nonfiction is not merely reciting facts. It's a specialized form of storytelling, very different from your college essays and book reports. Whether you're writing memoirs or computer texts, using storytelling techniques transforms your work for the better. This talk takes you through making your nonfiction not only readable, but memorable.","Same as Legal Name","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Talk/Lecture (Single speaker discussing a topic, possibly taking questions)","","","","","",""
"e4d825ddadb1bbd769815e009ca8c502","penguicon2017","104","Panels/presenters and AV technology - look and sound good!","N","2017-04-28 09:00","2017-04-28 10:00","Tech","","0","Panel discusses how presenters and panelists can best work with the AV gear they find in a typical breakout room - microphone technique, connecting to projectors, anything you need to get your point across.","Scott Helmke","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Panel, Multiple Speakers ( Multiple Speakers discuss a topic in front of an audience)","","","","","",""
"c44e4c26167af5ea66c9806fce0ce0ff","penguicon2017","105","Live Audio, as a professional sound engineer.","N","2017-04-28 09:00","2017-04-28 10:00","Tech","","0","Talk about live audio - microphones, speakers, everything in between, techniques. Very happy to answer questions or even spend a lot of time helping solve somebody's audio problem at work/church/band/etc.","Scott Helmke","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Workshop (With audience participation)","","","","","",""
"c0960e68b65006c9b3c7da11695f08e0","penguicon2017","106","Black Butler Tea Party","N","2017-04-28 09:00","2017-04-28 10:00","Anime","","0","Tea Party with an anime theme, where visitors may enjoy light snacks while being entertained by the hosts and having the chance to play games and win prizes.","A. Carina Barry-Shinigami Kami","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Workshop (With audience participation)","","","","","",""
"ecb3a9c8714902ee60da05434115c44a","penguicon2017","107","Humanitarian Open Street Mapathon","N","2017-04-28 09:00","2017-04-28 10:00","Tech","","0","Bring your laptop and join us in developing map data to aid a humanitarian project. No GIS or mapping experience required. We will be helping the Humanitarian Open Street Mapping Project – their past projects have included working on mapping earthquake stricken areas in Nepal and Haiti in the aftermath of hurricane Matthew. The exact project we will work on is to be determined, but likely will involve improving knowledge of road networks in an African country by looking at satellite images and marking the roads with your mouse. If you want to prepare for the workshop in advance, create an OpenStreetMap account and download the browser plugin here: http://hotosm.org/get-involved/disaster-mapping","Amanda Tickner","","","","","","TBA","1500 Town Center, Southfield, MI 48075","","Workshop (With audience participation)","","","","","",""
